id;nev;leiras;ar;tipus;stilus_id;image_url;link_url;created_at;updated_at
69;Séta a városban;Séta a városban leírása;10200;élmény;2;;https://varoserteke.hu/seta;2025.09.13 12:15;2025.09.13 12:45
70;Okos lámpa;Okos lámpa leírása;9450;tárgy;6;;https://okosotthon.hu/lampa;2025.09.13 13:00;2025.09.13 13:30
71;Festőkészlet deluxe;Festőkészlet deluxe leírása;18999;tárgy;7;;https://festokeszlet.hu/deluxe;2025.09.13 13:45;2025.09.13 14:15
72;Kalandpark belépő;Kalandpark belépő leírása;22500;élmény;5;;https://kalandpark.hu/belépő;2025.09.13 14:30;2025.09.13 15:00
73;Borkóstoló élmény;Borkóstoló élmény leírása;38500;élmény;6;;https://elmenyplaza.hu/borkostolo;2025.09.13 15:15;2025.09.13 15:45
74;Egyedi fotóalbum;Egyedi fotóalbum leírása;11450;tárgy;3;;https://fotoalbum.hu/egyedi;2025.09.13 16:00;2025.09.13 16:30
75;Szabadulószoba élmény;Szabadulószoba élmény leírása;17250;élmény;2;;https://szabaduloszoba.hu;2025.09.13 16:45;2025.09.13 17:15
76;Hőlégballon túra;Hőlégballon túra leírása;84999;élmény;7;;https://ballon.hu;2025.09.13 17:30;2025.09.13 18:00
77;Okos termosz;Okos termosz leírása;4250;tárgy;6;;https://okosotthon.hu/termosz;2025.09.13 18:15;2025.09.13 18:45
78;DIY dekoráció;DIY dekoráció leírása;7540;élmény;4;;https://hobbivilag.hu/dekoracio;2025.09.14 08:30;2025.09.14 09:00
79;Fitness szett;Fitness szett leírása;18499;tárgy;8;;https://fitnessbolt.hu/szett;2025.09.14 09:15;2025.09.14 09:45
80;Mini színházi előadás;Mini színházi előadás leírása;10250;élmény;1;;https://szinhaz.hu/minieloadas;2025.09.14 10:00;2025.09.14 10:30

